tool,label,precision,recall,f1,support
cppcheck,CWE-119,0.0,0.0,0.0,1
cppcheck,CWE-120,0.0,0.0,0.0,6
cppcheck,CWE-121,0.0,0.0,0.0,3
cppcheck,CWE-125,0.0,0.0,0.0,11
cppcheck,CWE-131,0.0,0.0,0.0,1
cppcheck,CWE-190,0.0,0.0,0.0,4
cppcheck,CWE-252,0.0,0.0,0.0,1
cppcheck,CWE-369,0.0,0.0,0.0,1
cppcheck,CWE-398,0.0,0.0,0.0,0
cppcheck,CWE-401,0.0,0.0,0.0,0
cppcheck,CWE-415,0.0,0.0,0.0,3
cppcheck,CWE-416,0.0,0.0,0.0,5
cppcheck,CWE-457,0.0,0.0,0.0,1
cppcheck,CWE-476,0.047619,0.055556,0.051282,18
cppcheck,CWE-563,0.0,0.0,0.0,0
cppcheck,CWE-571,0.0,0.0,0.0,0
cppcheck,CWE-590,0.0,0.0,0.0,2
cppcheck,CWE-681,0.0,0.0,0.0,1
cppcheck,CWE-754,0.0,0.0,0.0,1
cppcheck,CWE-787,0.0,0.0,0.0,9
cppcheck,CWE-788,0.0,0.0,0.0,0
cppcheck,CWE-805,0.0,0.0,0.0,1
cppcheck,NO_CWE,0.940893,0.936375,0.938628,833
flawfinder,CWE-119,0.0,0.0,0.0,1
flawfinder,CWE-120,0.222222,0.333333,0.266667,6
flawfinder,CWE-121,0.0,0.0,0.0,3
flawfinder,CWE-125,0.0,0.0,0.0,11
flawfinder,CWE-126,0.0,0.0,0.0,0
flawfinder,CWE-131,0.0,0.0,0.0,1
flawfinder,CWE-134,0.0,0.0,0.0,0
flawfinder,CWE-190,0.0,0.0,0.0,4
flawfinder,CWE-252,0.0,0.0,0.0,1
flawfinder,CWE-327,0.0,0.0,0.0,0
flawfinder,CWE-362,0.0,0.0,0.0,0
flawfinder,CWE-369,0.0,0.0,0.0,1
flawfinder,CWE-415,0.0,0.0,0.0,3
flawfinder,CWE-416,0.0,0.0,0.0,5
flawfinder,CWE-457,0.0,0.0,0.0,1
flawfinder,CWE-476,0.0,0.0,0.0,18
flawfinder,CWE-590,0.0,0.0,0.0,2
flawfinder,CWE-681,0.0,0.0,0.0,1
flawfinder,CWE-754,0.0,0.0,0.0,1
flawfinder,CWE-787,0.0,0.0,0.0,9
flawfinder,CWE-805,0.0,0.0,0.0,1
flawfinder,NO_CWE,0.94233,0.980792,0.961176,833
rats,CWE-119,0.0,0.0,0.0,1
rats,CWE-120,0.0,0.0,0.0,6
rats,CWE-121,0.0,0.0,0.0,3
rats,CWE-125,0.0,0.0,0.0,11
rats,CWE-131,0.0,0.0,0.0,1
rats,CWE-190,0.0,0.0,0.0,4
rats,CWE-252,0.0,0.0,0.0,1
rats,CWE-369,0.0,0.0,0.0,1
rats,CWE-415,0.0,0.0,0.0,3
rats,CWE-416,0.0,0.0,0.0,5
rats,CWE-457,0.0,0.0,0.0,1
rats,CWE-476,0.0,0.0,0.0,18
rats,CWE-590,0.0,0.0,0.0,2
rats,CWE-681,0.0,0.0,0.0,1
rats,CWE-754,0.0,0.0,0.0,1
rats,CWE-787,0.0,0.0,0.0,9
rats,CWE-805,0.0,0.0,0.0,1
rats,NO_CWE,0.923503,1.0,0.960231,833
sast_any,CWE-119,0.0,0.0,0.0,1
sast_any,CWE-120,0.222222,0.333333,0.266667,6
sast_any,CWE-121,0.0,0.0,0.0,3
sast_any,CWE-125,0.0,0.0,0.0,11
sast_any,CWE-126,0.0,0.0,0.0,0
sast_any,CWE-131,0.0,0.0,0.0,1
sast_any,CWE-134,0.0,0.0,0.0,0
sast_any,CWE-190,0.0,0.0,0.0,4
sast_any,CWE-252,0.0,0.0,0.0,1
sast_any,CWE-327,0.0,0.0,0.0,0
sast_any,CWE-362,0.0,0.0,0.0,0
sast_any,CWE-369,0.0,0.0,0.0,1
sast_any,CWE-398,0.0,0.0,0.0,0
sast_any,CWE-415,0.0,0.0,0.0,3
sast_any,CWE-416,0.0,0.0,0.0,5
sast_any,CWE-457,0.0,0.0,0.0,1
sast_any,CWE-476,0.055556,0.055556,0.055556,18
sast_any,CWE-563,0.0,0.0,0.0,0
sast_any,CWE-590,0.0,0.0,0.0,2
sast_any,CWE-681,0.0,0.0,0.0,1
sast_any,CWE-754,0.0,0.0,0.0,1
sast_any,CWE-787,0.0,0.0,0.0,9
sast_any,CWE-788,0.0,0.0,0.0,0
sast_any,CWE-805,0.0,0.0,0.0,1
sast_any,NO_CWE,0.955168,0.920768,0.937653,833
