tool,label,precision,recall,f1,support
cppcheck,CWE-119,0.0,0.0,0.0,1
cppcheck,CWE-120,0.0,0.0,0.0,1
cppcheck,CWE-121,0.0,0.0,0.0,3
cppcheck,CWE-125,0.0,0.0,0.0,14
cppcheck,CWE-131,0.0,0.0,0.0,1
cppcheck,CWE-134,0.0,0.0,0.0,1
cppcheck,CWE-190,0.0,0.0,0.0,4
cppcheck,CWE-200,0.0,0.0,0.0,1
cppcheck,CWE-201,0.0,0.0,0.0,1
cppcheck,CWE-248,0.0,0.0,0.0,1
cppcheck,CWE-252,0.0,0.0,0.0,1
cppcheck,CWE-366,0.0,0.0,0.0,1
cppcheck,CWE-398,0.0,0.0,0.0,0
cppcheck,CWE-416,0.0,0.0,0.0,4
cppcheck,CWE-457,0.0,0.0,0.0,1
cppcheck,CWE-476,0.0,0.0,0.0,72
cppcheck,CWE-563,0.0,0.0,0.0,0
cppcheck,CWE-570,0.0,0.0,0.0,0
cppcheck,CWE-571,0.0,0.0,0.0,0
cppcheck,CWE-590,0.0,0.0,0.0,1
cppcheck,CWE-617,0.0,0.0,0.0,2
cppcheck,CWE-674,0.0,0.0,0.0,1
cppcheck,CWE-681,0.0,0.0,0.0,2
cppcheck,CWE-686,0.0,0.0,0.0,0
cppcheck,CWE-754,0.0,0.0,0.0,1
cppcheck,CWE-755,0.0,0.0,0.0,1
cppcheck,CWE-758,0.0,0.0,0.0,2
cppcheck,CWE-761,0.0,0.0,0.0,1
cppcheck,CWE-772,0.0,0.0,0.0,1
cppcheck,CWE-779,0.0,0.0,0.0,2
cppcheck,CWE-787,0.0,0.0,0.0,6
cppcheck,NO_CWE,0.608911,0.884892,0.721408,139
flawfinder,CWE-119,0.0,0.0,0.0,1
flawfinder,CWE-120,0.0,0.0,0.0,1
flawfinder,CWE-121,0.0,0.0,0.0,3
flawfinder,CWE-125,0.0,0.0,0.0,14
flawfinder,CWE-126,0.0,0.0,0.0,0
flawfinder,CWE-131,0.0,0.0,0.0,1
flawfinder,CWE-134,0.0,0.0,0.0,1
flawfinder,CWE-190,0.0,0.0,0.0,4
flawfinder,CWE-200,0.0,0.0,0.0,1
flawfinder,CWE-201,0.0,0.0,0.0,1
flawfinder,CWE-248,0.0,0.0,0.0,1
flawfinder,CWE-252,0.0,0.0,0.0,1
flawfinder,CWE-366,0.0,0.0,0.0,1
