file_path,func_name,has_CWE,cwe_id,analyzer_message,analyzer_type,line_range
alloc.c,hiredisResetAllocators,False,,No issues found by SAST,None,54-62
alloc.c,hi_free,False,,No issues found by SAST,None,86-88
async.c,__redisSetError,False,,No issues found by SAST,None,57-58
async.c,callbackKeyCompare,False,,No issues found by SAST,None,77-85
async.c,callbackKeyDestructor,False,,No issues found by SAST,None,87-90
async.c,callbackValDestructor,False,,No issues found by SAST,None,92-95
async.c,__redisAsyncCopyError,False,,No issues found by SAST,None,163-170
async.c,redisAsyncSetConnectCallback,False,,No issues found by SAST,None,252-254
async.c,redisAsyncSetConnectCallbackNC,False,,No issues found by SAST,None,256-258
async.c,redisAsyncSetDisconnectCallback,False,,No issues found by SAST,None,260-266
async.c,__redisPushCallback,True,CWE-398,Parameter 'source' can be declared as pointer to const,SAST_CPPCHECK,269-289
async.c,__redisPushCallback,True,CWE-120,Does not check for buffer overflows when copying to destination (CWE-120).,SAST_FLAWFINDER,269-289
async.c,__redisPushCallback,True,,memcpy,SAST_RATS,269-289
async.c,__redisShiftCallback,True,CWE-120,Does not check for buffer overflows when copying to destination (CWE-120).,SAST_FLAWFINDER,291-305
async.c,__redisShiftCallback,True,,memcpy,SAST_RATS,291-305
async.c,__redisRunCallback,False,,No issues found by SAST,None,307-314
async.c,__redisRunPushCallback,False,,No issues found by SAST,None,316-322
async.c,__redisRunConnectCallback,False,,No issues found by SAST,None,324-345
async.c,__redisRunDisconnectCallback,False,,No issues found by SAST,None,347-359
async.c,__redisAsyncFree,False,,No issues found by SAST,None,362-409
async.c,redisAsyncFree,False,,No issues found by SAST,None,415-424
async.c,__redisAsyncDisconnect,False,,No issues found by SAST,None,427-452
async.c,redisAsyncDisconnect,False,,No issues found by SAST,None,460-468
async.c,__redisGetSubscribeCallback,True,CWE-398,Local variable 'cb' shadows outer variable,SAST_CPPCHECK,470-544
async.c,__redisGetSubscribeCallback,True,CWE-120,Does not check for buffer overflows when copying to destination (CWE-120).,SAST_FLAWFINDER,470-544
async.c,__redisGetSubscribeCallback,True,,memcpy,SAST_RATS,470-544
async.c,redisIsSubscribeReply,False,,No issues found by SAST,None,549-568
async.c,redisProcessCallbacks,True,,snprintf,SAST_RATS,570-662
async.c,__redisAsyncHandleConnectFailure,False,,No issues found by SAST,None,664-667
async.c,__redisAsyncHandleConnect,False,,No issues found by SAST,None,672-707
async.c,redisAsyncRead,False,,No issues found by SAST,None,709-719
async.c,redisAsyncHandleRead,False,,No issues found by SAST,None,724-739
async.c,redisAsyncWrite,False,,No issues found by SAST,None,741-757
async.c,redisAsyncHandleWrite,False,,No issues found by SAST,None,759-774
async.c,redisAsyncHandleTimeout,False,,No issues found by SAST,None,776-813
async.c,__redisAsyncCommand,False,,No issues found by SAST,None,834-968
async.c,redisvAsyncCommand,False,,No issues found by SAST,None,970-983
async.c,redisAsyncCommand,False,,No issues found by SAST,None,985-992
async.c,redisAsyncCommandArgv,False,,No issues found by SAST,None,994-1004
async.c,redisAsyncFormattedCommand,False,,No issues found by SAST,None,1006-1009
async.c,redisAsyncSetTimeout,False,,No issues found by SAST,None,1017-1034
dict.c,_dictExpandIfNeeded,False,,No issues found by SAST,None,300-308
dict.c,_dictInit,False,,No issues found by SAST,None,84-89
dict.c,_dictReset,False,,No issues found by SAST,None,66-71
dict.c,dictExpand,False,,No issues found by SAST,None,92-138
dict.c,dictAdd,False,,No issues found by SAST,None,141-163
dict.c,dictReplace,False,,No issues found by SAST,None,169-191
dict.c,dictDelete,False,,No issues found by SAST,None,194-222
dict.c,_dictClear,False,,No issues found by SAST,None,225-247
dict.c,dictRelease,False,,No issues found by SAST,None,250-253
dict.c,dictInitIterator,False,,No issues found by SAST,None,270-275
dict.c,_dictKeyIndex,False,,No issues found by SAST,None,325-342
hiredis.c,freeReplyObject,True,CWE-398,The scope of the variable 'j' can be reduced.,SAST_CPPCHECK,91-124
hiredis.c,bulklen,False,,No issues found by SAST,None,319-321
hiredis.c,redisvFormatCommand,True,CWE-398,Variable 'arg' can be declared as pointer to const,SAST_CPPCHECK,323-558
hiredis.c,redisvFormatCommand,True,CWE-664,va_list '_cpy' used before va_start() was called.,SAST_CPPCHECK,323-558
hiredis.c,redisvFormatCommand,True,CWE-119,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).",SAST_FLAWFINDER,323-558
hiredis.c,redisvFormatCommand,True,CWE-120,Does not check for buffer overflows when copying to destination (CWE-120).,SAST_FLAWFINDER,323-558
hiredis.c,redisvFormatCommand,True,,memcpy,SAST_RATS,323-558
hiredis.c,redisvFormatCommand,True,CWE-120,Does not check for buffer overflows (CWE-120).,SAST_FLAWFINDER,323-558
hiredis.c,redisvFormatCommand,True,,sprintf,SAST_RATS,323-558
hiredis.c,redisvFormatCommand,True,CWE-126,Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,SAST_FLAWFINDER,323-558
hiredis.c,redisvFormatCommand,True,,strlen,SAST_RATS,323-558
hiredis.c,redisFormatCommand,False,,No issues found by SAST,None,572-585
hiredis.c,redisFreeSdsCommand,False,,No issues found by SAST,None,640-642
hiredis.c,redisFreeCommand,False,,No issues found by SAST,None,687-689
hiredis.c,__redisSetError,True,CWE-398,The scope of the variable 'len' can be reduced.,SAST_CPPCHECK,691-705
hiredis.c,__redisSetError,True,CWE-120,Does not check for buffer overflows when copying to destination (CWE-120).,SAST_FLAWFINDER,691-705
hiredis.c,__redisSetError,True,,memcpy,SAST_RATS,691-705
hiredis.c,__redisSetError,True,CWE-126,Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,SAST_FLAWFINDER,691-705
hiredis.c,__redisSetError,True,,strlen,SAST_RATS,691-705
hiredis.c,redisPushAutoFree,False,,No issues found by SAST,None,711-714
hiredis.c,redisFree,False,,No issues found by SAST,None,737-762
