tool,label,precision,recall,f1,support
cppcheck,CWE-120,0.0,0.0,0.0,7
cppcheck,CWE-121,0.0,0.0,0.0,2
cppcheck,CWE-125,0.0,0.0,0.0,2
cppcheck,CWE-131,0.0,0.0,0.0,1
cppcheck,CWE-190,0.0,0.0,0.0,3
cppcheck,CWE-221,0.0,0.0,0.0,2
cppcheck,CWE-398,0.0,0.0,0.0,0
cppcheck,CWE-416,0.0,0.0,0.0,1
cppcheck,CWE-457,0.333333,0.5,0.4,2
cppcheck,CWE-476,0.0,0.0,0.0,2
cppcheck,CWE-562,0.0,0.0,0.0,0
cppcheck,CWE-563,0.0,0.0,0.0,0
cppcheck,CWE-570,0.0,0.0,0.0,0
cppcheck,CWE-571,0.0,0.0,0.0,0
cppcheck,CWE-686,0.0,0.0,0.0,0
cppcheck,CWE-775,0.0,0.0,0.0,0
cppcheck,CWE-787,0.0,0.0,0.0,5
cppcheck,NO_CWE,0.6875,0.647059,0.666667,51
flawfinder,CWE-119,0.0,0.0,0.0,0
flawfinder,CWE-120,0.444444,0.571429,0.5,7
flawfinder,CWE-121,0.0,0.0,0.0,2
flawfinder,CWE-125,0.0,0.0,0.0,2
flawfinder,CWE-126,0.0,0.0,0.0,0
flawfinder,CWE-131,0.0,0.0,0.0,1
flawfinder,CWE-190,0.666667,0.666667,0.666667,3
flawfinder,CWE-221,0.0,0.0,0.0,2
flawfinder,CWE-362,0.0,0.0,0.0,0
flawfinder,CWE-416,0.0,0.0,0.0,1
flawfinder,CWE-457,0.0,0.0,0.0,2
flawfinder,CWE-476,0.0,0.0,0.0,2
flawfinder,CWE-787,0.0,0.0,0.0,5
flawfinder,NO_CWE,0.837209,0.705882,0.765957,51
rats,CWE-120,0.0,0.0,0.0,7
rats,CWE-121,0.0,0.0,0.0,2
rats,CWE-125,0.0,0.0,0.0,2
rats,CWE-131,0.0,0.0,0.0,1
rats,CWE-190,0.0,0.0,0.0,3
rats,CWE-221,0.0,0.0,0.0,2
rats,CWE-416,0.0,0.0,0.0,1
rats,CWE-457,0.0,0.0,0.0,2
rats,CWE-476,0.0,0.0,0.0,2
rats,CWE-787,0.0,0.0,0.0,5
rats,NO_CWE,0.653846,1.0,0.790698,51
sast_any,CWE-119,0.0,0.0,0.0,0
sast_any,CWE-120,0.444444,0.571429,0.5,7
sast_any,CWE-121,0.0,0.0,0.0,2
sast_any,CWE-125,0.0,0.0,0.0,2
sast_any,CWE-126,0.0,0.0,0.0,0
sast_any,CWE-131,0.0,0.0,0.0,1
sast_any,CWE-190,0.666667,0.666667,0.666667,3
sast_any,CWE-221,0.0,0.0,0.0,2
sast_any,CWE-362,0.0,0.0,0.0,0
sast_any,CWE-398,0.0,0.0,0.0,0
sast_any,CWE-416,0.0,0.0,0.0,1
sast_any,CWE-457,0.0,0.0,0.0,2
sast_any,CWE-476,0.0,0.0,0.0,2
sast_any,CWE-563,0.0,0.0,0.0,0
sast_any,CWE-571,0.0,0.0,0.0,0
sast_any,CWE-686,0.0,0.0,0.0,0
sast_any,CWE-787,0.0,0.0,0.0,5
sast_any,NO_CWE,0.805556,0.568627,0.666667,51
